Date,city,pm2_5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket
2015-01-18,Delhi,486.5,401.3,97.5,1.0,67.5,21.3,2.88,63.0,171.9,19.79,26.21,3.38,439.8,Good
2015-01-19,Delhi,176.7,498.0,108.8,98.2,224.1,44.6,7.15,95.7,100.2,19.03,17.88,8.97,102.0,Satisfactory
2015-01-20,Delhi,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,3.39,19.37,6.2,374.5,Very Poor
2015-01-21,Delhi,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,19.79,13.28,8.16,192.3,Good
2015-01-22,Delhi,403.8,423.9,106.4,41.3,106.2,23.0,8.67,68.2,135.0,7.14,8.6,6.4,126.7,Severe
2015-01-23,Delhi,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37.0,139.6,12.89,16.09,8.7,362.2,Good
2015-01-24,Delhi,188.3,442.6,191.0,82.8,181.5,13.7,0.53,3.6,37.1,1.62,24.86,7.97,288.8,Good
2015-01-25,Delhi,397.3,457.0,112.9,100.4,87.4,21.1,7.67,76.0,2.7,14.55,25.88,5.98,148.4,Severe
2015-01-26,Delhi,336.2,576.0,52.7,6.6,157.1,0.4,4.15,96.1,165.4,5.0,12.88,4.31,260.0,Satisfactory
2015-01-27,Delhi,125.9,443.0,35.0,120.4,103.5,41.6,4.44,30.5,91.4,10.42,5.67,8.6,225.8,Moderate
2015-01-28,Delhi,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58.0,4.3,2.02,19.5,5.32,260.7,Very Poor
2015-01-29,Delhi,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95.0,127.3,12.55,28.07,3.73,44.1,Severe
2015-01-30,Delhi,485.5,128.0,37.5,103.7,79.1,10.8,1.14,6.5,133.6,10.55,27.99,7.05,337.9,Moderate
2015-01-31,Delhi,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,3.89,18.54,9.64,489.9,Good
2015-02-01,Delhi,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91.0,36.4,5.4,21.36,2.36,447.5,Moderate
2015-02-02,Delhi,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,10.1,7.9,5.83,266.8,Poor
2015-02-03,Delhi,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,18.51,2.22,2.72,40.7,Good
2015-02-04,Delhi,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,9.07,26.36,0.11,365.4,Severe
2015-02-05,Delhi,172.9,328.3,79.4,28.6,207.0,13.3,8.51,85.2,189.5,14.27,1.24,2.89,37.6,Satisfactory
2015-02-06,Delhi,23.8,436.9,190.1,88.6,221.6,1.1,0.46,71.2,144.9,0.55,18.71,0.03,52.3,Moderate
2015-02-07,Delhi,207.1,288.6,197.7,66.6,80.7,49.8,0.73,71.2,51.0,18.91,5.7,0.75,261.6,Satisfactory
2015-02-08,Delhi,21.0,132.5,140.7,105.3,139.7,27.5,1.86,26.8,18.6,19.33,15.96,1.9,311.0,Moderate
2015-02-09,Delhi,476.6,581.6,20.3,73.0,193.8,12.6,6.1,29.9,106.4,0.85,22.7,6.18,326.7,Moderate
2015-02-10,Delhi,262.9,178.7,75.4,34.7,188.0,39.8,1.08,2.5,142.6,5.22,27.63,0.9,437.3,Very Poor
2015-02-11,Delhi,87.9,210.8,30.8,149.5,197.5,9.6,6.64,34.9,72.4,12.5,10.86,7.25,26.7,Severe
2015-02-12,Delhi,416.1,398.4,145.2,127.7,247.4,45.7,3.24,8.0,27.4,19.31,8.2,3.46,413.9,Satisfactory
2015-02-13,Delhi,64.2,531.8,24.7,50.7,168.3,18.3,1.17,7.3,122.4,10.75,19.5,3.53,205.5,Poor
2015-02-14,Delhi,381.0,226.1,56.2,137.1,89.2,48.1,8.28,88.5,134.2,5.89,14.48,4.03,493.5,Poor
2015-02-15,Delhi,389.3,412.5,71.4,85.3,167.1,27.1,9.15,60.6,41.6,2.33,15.98,9.75,9.8,Severe
2015-02-16,Delhi,65.4,70.3,49.0,43.2,80.0,22.6,4.59,30.2,31.9,2.72,19.29,6.46,118.1,Poor
2015-02-17,Delhi,355.9,417.6,182.8,5.5,64.6,6.8,0.31,22.2,140.9,13.53,26.99,8.83,464.4,Severe
2015-02-18,Delhi,252.3,553.2,103.6,11.2,4.9,20.0,0.78,82.4,7.8,17.96,20.74,2.09,208.6,Very Poor
2015-02-19,Delhi,450.2,576.9,82.2,74.7,74.8,3.1,7.77,81.9,163.1,7.9,4.41,3.08,456.4,Good
2015-02-20,Delhi,318.0,329.0,6.1,64.2,16.6,41.1,1.94,5.8,60.0,7.13,21.31,8.33,16.1,Severe
2015-02-21,Delhi,121.9,212.9,158.9,49.6,103.8,41.1,0.08,9.6,178.5,6.04,27.27,1.74,412.8,Moderate
2015-02-22,Delhi,190.3,388.7,135.2,75.4,65.5,22.8,1.79,28.6,34.3,19.66,16.12,9.09,136.1,Very Poor
2015-02-23,Delhi,318.1,553.9,184.9,62.7,13.2,15.4,7.9,62.8,166.5,9.97,24.42,9.87,305.5,Good
2015-02-24,Delhi,199.8,131.5,21.7,148.8,68.4,32.5,1.49,40.6,77.0,0.24,29.6,9.84,286.3,Severe
2015-02-25,Delhi,169.2,458.8,166.7,47.3,182.0,38.4,5.76,5.3,39.1,7.33,18.4,8.45,110.8,Poor
2015-02-26,Delhi,92.3,572.9,17.0,87.6,210.2,34.5,5.96,84.7,113.8,12.44,15.04,7.92,465.8,Severe
2015-02-27,Delhi,60.5,74.8,163.2,55.4,85.8,33.9,1.28,79.0,168.7,3.97,27.22,8.75,335.7,Severe
2015-02-28,Delhi,109.0,169.7,137.1,88.7,56.3,40.5,4.54,54.7,147.9,19.78,0.14,9.9,295.8,Severe
2015-03-01,Delhi,382.8,305.1,36.5,149.4,185.2,37.7,5.45,89.7,145.9,3.82,17.77,4.1,353.7,Very Poor
2015-03-02,Delhi,343.1,439.0,35.9,141.3,121.0,44.3,9.66,55.8,18.8,10.98,14.44,4.54,108.5,Very Poor
2015-03-03,Delhi,154.6,531.1,139.3,53.0,14.4,19.5,2.57,76.5,62.9,1.9,0.36,4.09,142.4,Satisfactory
2015-03-04,Delhi,104.3,431.4,53.8,105.2,0.1,20.7,2.37,84.6,12.1,15.7,23.99,5.73,19.2,Very Poor
2015-03-05,Delhi,267.4,418.6,8.2,134.9,68.7,32.1,5.79,29.5,167.7,17.66,22.3,9.05,103.7,Good
2015-03-06,Delhi,217.0,150.5,38.3,94.6,66.1,5.2,3.37,49.2,112.6,17.53,14.95,2.77,497.7,Poor
2015-03-07,Delhi,341.0,103.3,21.2,134.5,21.0,28.7,8.73,72.7,50.8,13.47,13.07,7.85,172.7,Good
2015-03-08,Delhi,186.3,353.5,189.4,35.7,143.4,25.9,4.94,43.2,172.5,7.19,20.43,7.14,68.1,Good
2015-03-09,Delhi,454.9,369.8,55.5,142.0,83.2,5.0,2.34,36.1,4.7,19.86,14.62,9.4,368.9,Moderate
2015-03-10,Delhi,59.5,293.3,10.3,145.1,23.5,40.8,5.14,27.4,62.6,7.75,19.09,9.32,20.8,Very Poor
2015-03-11,Delhi,392.8,507.7,50.0,132.2,222.8,3.3,2.96,5.9,43.5,1.04,5.99,2.08,246.4,Poor
2015-03-12,Delhi,351.1,45.8,191.9,147.7,93.6,49.6,8.38,82.6,107.6,6.47,1.77,3.83,376.3,Moderate
2015-03-13,Delhi,134.0,114.7,139.8,96.8,115.8,4.2,2.91,92.0,174.9,10.97,8.94,7.47,176.3,Poor
2015-03-14,Delhi,130.0,235.0,56.6,4.6,170.8,25.2,3.19,60.5,189.6,12.6,29.97,7.22,74.1,Moderate
2015-03-15,Delhi,429.2,20.0,99.7,45.4,69.3,41.4,7.73,93.0,67.2,8.42,2.81,3.1,467.3,Satisfactory
2015-03-16,Delhi,155.4,358.4,114.2,62.8,232.0,25.3,0.82,9.7,89.1,18.77,20.97,1.22,436.1,Poor
2015-03-17,Delhi,348.1,361.7,91.9,139.4,88.6,49.4,1.82,60.5,67.7,11.5,16.82,3.59,42.4,Severe
2015-03-18,Delhi,441.6,289.1,92.1,131.6,47.9,34.0,3.31,54.3,185.5,3.76,12.83,3.21,403.6,Poor
2015-03-19,Delhi,134.6,542.3,104.6,94.3,185.4,9.6,4.72,36.9,102.4,15.63,28.78,8.94,280.8,Very Poor
2015-03-20,Delhi,102.7,348.6,108.7,130.1,151.2,17.7,4.24,91.3,151.7,10.58,22.24,2.27,295.2,Satisfactory
2015-03-21,Delhi,117.6,424.2,191.5,83.7,172.2,19.8,8.62,70.2,18.7,7.77,12.65,3.11,104.5,Very Poor
2015-03-22,Delhi,301.5,144.0,49.9,55.6,177.7,14.1,3.54,60.7,61.7,11.73,13.54,3.58,216.1,Satisfactory
2015-03-23,Delhi,439.1,540.0,184.2,68.6,182.8,41.2,6.0,93.0,134.5,3.45,24.75,9.44,271.9,Severe
2015-03-24,Delhi,437.8,293.9,76.3,47.2,161.6,25.7,2.92,41.0,19.5,18.69,18.77,7.72,34.5,Satisfactory
2015-03-25,Delhi,450.7,234.8,125.4,94.8,6.9,38.7,4.21,99.7,193.7,7.14,8.62,1.34,251.1,Good
2015-03-26,Delhi,285.7,577.6,5.9,81.0,211.1,10.3,6.68,88.4,156.5,2.92,14.51,6.18,359.0,Moderate
2015-03-27,Delhi,73.3,306.6,124.4,43.7,159.1,31.9,5.43,49.4,50.1,8.33,29.22,8.15,35.4,Severe
2015-03-28,Delhi,158.3,529.7,198.0,131.3,233.4,15.9,8.72,59.1,141.7,15.14,23.72,0.49,376.7,Moderate
2015-03-29,Delhi,383.4,137.4,2.9,19.1,248.7,29.1,0.78,24.4,101.9,9.15,16.22,0.84,405.4,Severe
2015-03-30,Delhi,483.8,272.3,131.7,125.1,96.8,29.9,8.06,52.0,184.7,1.57,22.11,1.24,239.5,Very Poor
2015-03-31,Delhi,407.3,518.9,26.4,147.8,101.4,44.5,6.17,56.8,61.3,10.35,13.6,4.64,220.9,Poor
2015-04-01,Delhi,497.0,199.0,138.6,15.1,45.1,32.2,4.71,49.5,91.8,16.35,21.71,3.05,155.8,Satisfactory
2015-04-02,Delhi,341.5,588.2,47.7,100.0,28.3,37.1,5.71,25.8,75.1,18.46,25.34,1.86,420.4,Severe
2015-04-03,Delhi,157.0,337.3,149.0,100.6,206.0,36.2,9.88,33.1,169.7,6.52,20.29,7.22,87.4,Very Poor
2015-04-04,Delhi,419.1,31.5,178.9,83.8,161.1,29.6,8.36,48.7,2.9,1.44,24.85,3.62,400.4,Very Poor
2015-04-05,Delhi,376.9,236.2,30.2,42.6,162.2,20.9,6.27,74.8,7.7,3.21,4.94,6.33,315.7,Moderate
2015-04-06,Delhi,131.4,175.9,6.5,50.1,150.4,15.8,8.33,32.0,5.2,12.34,6.86,5.63,467.2,Poor
2015-04-07,Delhi,202.9,410.3,142.8,19.1,218.4,8.1,7.79,88.5,173.7,0.68,15.79,8.39,479.2,Satisfactory
2015-04-08,Delhi,190.5,148.9,156.4,59.0,243.5,16.7,7.91,79.1,19.8,2.12,16.34,1.58,134.2,Severe
2015-04-09,Delhi,263.4,131.5,113.2,72.8,123.1,42.5,7.04,16.0,113.1,3.88,17.2,1.99,198.1,Poor
2015-04-10,Delhi,279.6,426.9,31.7,15.6,8.0,34.7,8.84,44.2,35.1,2.47,26.87,8.1,37.9,Good
2015-04-11,Delhi,155.6,59.2,149.4,34.3,208.8,28.1,3.88,82.3,150.2,18.53,1.77,7.06,452.2,Severe
2015-04-12,Delhi,435.4,494.1,102.9,97.2,198.6,41.5,1.58,33.2,71.0,14.86,25.47,8.39,397.7,Poor
2015-04-13,Delhi,483.8,448.7,0.3,37.3,116.5,41.8,0.89,17.1,164.8,13.12,22.92,0.61,165.5,Very Poor
2015-04-14,Delhi,451.6,290.0,83.5,79.5,102.9,31.0,1.71,48.2,45.8,11.55,1.63,9.99,75.9,Severe
2015-04-15,Delhi,351.3,443.6,55.4,94.1,193.6,45.3,6.09,18.2,198.2,1.63,27.48,0.33,458.0,Very Poor
2015-04-16,Delhi,181.7,45.7,39.8,138.3,232.7,14.0,6.46,34.2,170.9,7.3,19.52,1.23,105.8,Satisfactory
2015-04-17,Delhi,489.6,493.6,22.9,116.3,16.3,37.9,9.67,44.1,60.3,13.47,3.07,8.28,37.1,Severe
2015-04-18,Delhi,137.9,554.0,168.7,12.7,146.3,5.3,2.43,63.2,119.7,13.9,11.85,6.97,379.0,Severe
2015-04-19,Delhi,262.0,498.8,143.0,113.0,85.2,1.8,4.19,1.4,195.1,13.54,6.33,5.52,118.1,Moderate
2015-04-20,Delhi,188.2,460.0,90.9,96.9,164.1,14.0,5.18,100.0,37.3,6.62,2.66,8.73,269.1,Very Poor
2015-04-21,Delhi,338.0,277.2,3.8,105.4,82.8,42.1,0.61,15.9,135.2,9.31,27.34,3.13,198.4,Moderate
2015-04-22,Delhi,398.5,464.4,64.5,18.8,105.5,6.3,1.28,76.1,68.3,18.53,2.55,4.58,40.4,Poor
2015-04-23,Delhi,124.2,242.7,20.9,87.0,128.4,46.3,3.85,80.9,98.8,1.26,3.57,9.74,252.3,Satisfactory
2015-04-24,Delhi,287.7,513.2,48.5,108.1,178.3,22.0,2.97,61.1,6.3,6.7,2.33,9.09,256.2,Satisfactory
2015-04-25,Delhi,204.1,11.7,127.3,10.2,242.0,18.0,6.0,51.3,42.1,5.17,25.51,0.73,181.9,Good
2015-04-26,Delhi,106.1,41.4,179.2,16.0,2.1,0.1,8.81,59.1,195.2,15.71,1.59,8.04,12.9,Very Poor
2015-04-27,Delhi,354.9,508.9,67.4,68.5,186.3,49.5,9.3,51.0,12.5,10.04,25.16,4.17,149.5,Good
2015-04-28,Delhi,173.6,196.2,58.0,145.9,235.4,0.4,8.03,78.5,45.2,10.77,19.67,8.96,149.9,Very Poor
2015-04-29,Delhi,82.8,532.4,56.9,5.9,123.9,30.1,8.95,99.6,13.4,3.75,9.24,3.14,392.8,Very Poor
2015-04-30,Delhi,334.1,351.2,25.0,68.0,47.4,0.0,1.69,19.9,27.9,12.24,27.05,3.66,106.3,Severe
2015-05-01,Delhi,176.8,97.0,57.0,133.9,193.2,48.1,5.01,4.5,66.4,18.83,0.97,6.23,139.2,Moderate
2015-05-02,Delhi,117.2,560.8,172.4,92.5,122.5,36.3,9.82,19.9,148.1,19.88,14.51,9.19,288.3,Good
2015-05-03,Delhi,179.5,469.2,176.0,21.5,237.8,20.7,9.15,46.6,167.0,12.32,12.96,3.96,481.3,Good
2015-05-04,Delhi,404.1,486.1,55.7,124.6,73.6,40.2,0.11,83.1,99.4,11.23,20.27,9.09,339.7,Severe
2015-05-05,Delhi,175.1,295.2,72.9,76.2,3.9,36.9,5.23,11.7,193.2,0.59,18.82,0.03,420.3,Poor
2015-05-06,Delhi,20.7,343.3,59.7,18.5,89.4,35.6,3.94,18.4,37.6,9.52,22.75,2.52,482.3,Severe
2015-05-07,Delhi,415.6,50.8,17.4,146.9,94.9,15.7,0.43,56.0,127.8,7.86,2.54,8.5,356.1,Very Poor
2015-05-08,Delhi,124.7,197.1,81.6,26.0,117.4,12.2,9.5,93.5,38.1,13.31,12.09,2.13,278.3,Poor
2015-05-09,Delhi,87.0,122.6,182.4,66.2,20.7,40.5,8.11,51.7,162.3,9.99,25.19,6.46,81.5,Severe
2015-05-10,Delhi,23.0,330.4,45.4,135.5,157.2,14.3,0.06,55.3,25.3,17.58,24.68,3.2,440.0,Poor
2015-05-11,Delhi,65.1,95.2,177.9,107.8,67.9,15.8,1.13,20.1,47.5,6.71,11.03,2.98,193.1,Good
2015-05-12,Delhi,83.8,431.4,8.9,118.0,8.9,6.9,1.34,62.5,16.5,10.06,5.45,9.6,18.5,Poor
2015-05-13,Delhi,336.9,380.5,183.2,70.8,30.1,1.2,2.63,49.2,195.2,10.95,18.35,7.43,442.7,Moderate
2015-05-14,Delhi,315.5,17.8,93.0,52.9,186.7,16.1,3.63,36.0,172.2,6.63,9.35,2.73,43.9,Moderate
2015-05-15,Delhi,151.4,186.4,66.0,46.6,179.9,15.2,7.97,28.0,132.7,9.93,23.71,8.17,28.9,Satisfactory
2015-05-16,Delhi,373.4,507.4,30.2,4.5,130.2,47.5,9.97,7.7,123.4,0.6,6.58,5.67,272.4,Moderate
2015-05-17,Delhi,26.8,70.1,170.8,143.8,148.2,20.5,6.43,40.9,156.6,14.26,14.0,8.06,125.7,Poor
2015-05-18,Delhi,379.6,191.1,151.0,93.5,241.2,34.3,8.24,11.6,97.4,13.86,12.98,5.48,47.8,Moderate
2015-05-19,Delhi,259.9,594.2,65.0,45.2,212.0,47.3,4.35,7.9,24.0,8.95,21.1,0.87,331.4,Good
2015-05-20,Delhi,243.1,95.7,116.2,121.4,135.7,20.4,8.6,4.7,41.4,7.28,17.33,4.19,404.5,Good
2015-05-21,Delhi,55.1,590.8,68.9,60.4,82.4,3.8,6.13,51.0,185.9,5.08,28.4,0.85,225.0,Severe
2015-05-22,Delhi,202.6,27.3,51.8,26.6,214.7,20.0,9.05,7.5,31.6,9.07,23.89,0.23,463.8,Very Poor
2015-05-23,Delhi,315.6,534.9,14.6,13.3,162.4,47.4,7.84,30.3,166.5,9.12,28.78,8.68,407.5,Satisfactory
2015-05-24,Delhi,293.9,406.7,72.7,98.9,101.1,7.0,7.48,12.2,177.4,12.93,16.52,4.14,409.6,Moderate
2015-05-25,Delhi,98.2,87.4,17.7,118.3,167.1,27.9,0.11,2.3,130.2,10.84,4.33,2.25,85.2,Severe
2015-05-26,Delhi,435.5,477.0,138.2,33.3,51.9,6.2,7.02,27.9,125.9,18.93,1.75,1.16,311.9,Satisfactory
2015-05-27,Delhi,285.5,493.1,43.6,79.8,31.4,11.0,5.25,47.2,5.3,8.57,8.19,0.76,120.3,Severe
2015-05-28,Delhi,265.1,107.5,136.1,85.7,208.5,15.3,8.04,10.9,178.1,5.19,18.05,0.36,254.0,Good
2015-05-29,Delhi,101.5,257.0,120.0,116.7,29.6,34.9,2.01,8.5,22.0,19.05,8.15,5.99,45.2,Very Poor
2015-05-30,Delhi,277.1,569.3,109.5,129.0,138.2,14.4,9.01,29.1,182.4,4.05,4.5,2.25,44.8,Poor
2015-05-31,Delhi,182.1,575.3,97.1,90.2,64.3,8.0,4.79,99.1,187.6,11.32,10.84,0.87,497.6,Good
2015-06-01,Delhi,220.4,318.5,104.7,128.6,221.9,1.3,4.55,71.7,29.2,6.34,7.44,9.96,458.9,Moderate
2015-06-02,Delhi,198.1,120.4,72.6,98.3,185.4,31.9,2.8,10.1,115.9,17.05,11.77,9.34,489.9,Moderate
2015-06-03,Delhi,275.8,27.8,18.5,90.8,172.8,23.3,8.05,49.0,56.9,11.98,15.75,7.31,287.1,Good
2015-06-04,Delhi,447.8,308.8,123.1,140.2,141.8,4.9,2.5,27.6,178.5,5.83,21.14,3.0,14.4,Satisfactory
2015-06-05,Delhi,258.3,148.4,183.2,34.5,188.7,40.2,3.84,74.6,148.0,8.99,22.04,9.89,221.9,Good
2015-06-06,Delhi,6.6,11.2,192.0,145.1,83.1,4.3,2.19,82.1,21.6,7.78,14.19,1.23,360.4,Very Poor
2015-06-07,Delhi,268.8,27.5,167.5,51.8,99.7,25.6,6.59,86.2,100.7,11.93,13.54,9.38,210.0,Poor
2015-06-08,Delhi,456.1,195.8,27.6,148.4,201.9,22.9,6.08,36.0,51.8,5.41,11.9,4.85,123.2,Very Poor
2015-06-09,Delhi,126.9,455.1,156.2,51.4,84.6,24.5,9.03,24.5,172.6,10.9,5.7,4.72,299.2,Good
2015-06-10,Delhi,424.1,388.5,162.5,144.3,86.2,14.2,6.82,27.1,75.6,6.83,10.36,4.15,87.7,Very Poor
2015-06-11,Delhi,16.5,443.1,91.5,3.2,213.9,49.9,7.55,6.1,110.2,12.25,21.61,5.28,255.6,Very Poor
2015-06-12,Delhi,341.6,326.1,137.2,70.5,19.8,49.1,5.43,98.8,139.8,1.89,1.28,9.47,152.9,Moderate
2015-06-13,Delhi,323.6,149.8,45.7,7.8,159.7,40.8,3.26,51.9,95.6,15.02,8.68,9.34,366.6,Good
2015-06-14,Delhi,150.5,432.0,104.5,125.8,154.5,9.4,8.0,40.6,158.4,1.82,8.74,8.41,295.6,Poor
2015-06-15,Delhi,181.0,94.7,59.1,55.7,161.9,46.6,5.51,62.9,154.0,4.01,3.82,2.74,188.5,Satisfactory
2015-06-16,Delhi,335.7,3.7,131.3,17.4,47.1,33.3,7.7,22.9,156.7,0.53,23.55,5.48,50.7,Good
2015-06-17,Delhi,109.8,327.5,92.0,82.0,6.3,13.6,8.14,38.3,2.5,2.54,12.24,3.64,399.3,Very Poor
2015-06-18,Delhi,464.1,28.3,16.5,16.8,68.4,18.9,5.1,8.8,105.8,4.61,14.22,5.33,290.1,Good
2015-06-19,Delhi,220.1,172.7,18.1,53.5,41.5,49.3,3.37,22.4,118.8,12.05,18.09,9.56,352.2,Good
2015-06-20,Delhi,332.9,513.6,95.8,137.6,67.5,38.1,1.66,1.0,77.7,18.71,11.79,6.7,190.1,Satisfactory
2015-06-21,Delhi,309.8,310.3,43.6,30.1,107.8,43.6,4.89,5.1,49.4,2.41,13.86,2.05,184.5,Poor
2015-06-22,Delhi,36.8,330.2,17.6,4.6,131.8,7.2,5.53,0.6,53.6,8.56,19.07,4.41,182.5,Good
2015-06-23,Delhi,63.6,515.0,197.4,49.7,207.5,2.7,7.15,0.7,96.5,0.52,27.61,1.45,232.7,Severe
2015-06-24,Delhi,172.0,62.6,138.2,67.5,222.0,30.2,0.79,27.1,85.8,18.89,28.19,2.46,149.5,Very Poor
2015-06-25,Delhi,405.8,582.9,128.4,109.7,245.6,24.5,6.76,42.8,56.1,16.21,8.19,4.22,98.8,Poor
2015-06-26,Delhi,11.5,189.9,132.8,135.4,11.0,49.1,5.44,83.4,159.5,2.36,10.55,9.07,288.2,Severe
2015-06-27,Delhi,489.2,479.0,88.9,68.3,1.7,33.2,3.21,34.0,178.9,7.5,26.52,6.99,34.8,Poor
2015-06-28,Delhi,270.3,112.9,118.1,80.4,226.4,27.9,5.15,42.4,171.0,9.28,7.59,9.77,362.3,Poor
2015-06-29,Delhi,429.1,300.0,60.5,132.0,174.9,2.4,5.31,31.5,89.0,14.15,15.35,9.84,484.0,Severe
2015-06-30,Delhi,121.3,237.7,187.2,111.3,117.5,48.6,8.79,48.0,167.1,8.9,3.24,6.03,47.5,Poor
2015-07-01,Delhi,196.1,523.1,80.7,117.8,24.3,5.9,5.38,0.8,145.2,9.36,21.39,4.05,401.2,Severe
2015-07-02,Delhi,210.4,104.2,160.8,16.6,139.2,48.4,4.71,84.7,111.4,18.43,29.06,2.02,301.3,Severe
2015-07-03,Delhi,352.0,95.2,16.7,139.6,201.2,40.8,6.53,3.2,174.6,16.93,8.97,9.73,409.4,Good
2015-07-04,Delhi,182.2,197.9,52.5,40.0,67.6,26.7,8.14,19.6,31.9,14.55,24.7,6.89,493.2,Good
2015-07-05,Delhi,285.8,150.8,1.4,142.5,31.9,3.7,7.31,65.5,198.9,4.61,26.03,3.15,204.1,Good
2015-07-06,Delhi,199.0,167.9,161.9,10.8,78.7,46.4,7.47,92.6,96.7,13.72,28.97,6.93,335.2,Very Poor
2015-07-07,Delhi,262.3,406.3,137.0,12.3,5.1,12.0,5.39,55.3,133.9,1.82,7.03,2.72,242.6,Good
2015-07-08,Delhi,101.2,250.7,192.5,22.9,168.2,45.1,1.83,93.4,145.5,15.28,25.72,2.93,83.6,Good
2015-07-09,Delhi,343.1,112.2,11.7,81.4,52.8,46.1,9.79,69.6,120.9,11.62,16.51,0.13,133.6,Good
2015-07-10,Delhi,50.2,175.3,50.1,26.1,162.6,14.2,4.44,87.7,131.8,4.32,19.62,4.97,289.9,Moderate
2015-07-11,Delhi,116.1,254.8,162.1,79.1,234.9,3.1,3.2,96.5,48.9,0.57,3.1,4.18,253.7,Good
2015-07-12,Delhi,425.2,591.1,56.0,144.8,59.7,33.6,1.83,74.8,180.2,9.09,2.32,2.14,282.0,Good
2015-07-13,Delhi,315.0,294.8,14.5,125.0,182.4,31.1,7.75,18.8,117.5,15.79,22.87,9.89,157.9,Good
2015-07-14,Delhi,354.0,237.8,119.6,77.9,117.6,41.6,1.52,11.3,104.0,11.71,5.05,7.82,285.4,Very Poor
2015-07-15,Delhi,494.5,316.2,194.4,6.4,98.3,2.7,2.35,79.4,35.0,13.55,11.59,8.37,44.9,Good
2015-07-16,Delhi,181.6,269.3,1.8,41.6,102.4,15.5,2.46,86.1,54.2,19.08,22.81,3.98,3.8,Good
2015-07-17,Delhi,416.8,23.5,151.8,118.0,36.1,41.6,3.98,89.5,177.5,11.15,7.63,3.77,112.5,Good
2015-07-18,Delhi,295.7,184.3,146.9,74.2,144.1,11.9,2.0,34.0,165.0,13.9,15.65,7.5,426.0,Moderate
2015-07-19,Delhi,388.0,325.5,50.4,143.3,221.4,25.2,3.59,99.5,58.8,10.85,28.94,7.89,48.8,Very Poor
2015-07-20,Delhi,468.6,120.6,181.9,26.9,35.0,11.8,8.59,81.7,56.4,0.13,18.81,8.27,103.1,Severe
2015-07-21,Delhi,408.1,394.5,114.2,18.5,80.9,15.5,7.08,34.4,101.4,9.59,26.07,7.54,301.0,Severe
