Date,city,pm2_5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,hour,day,month,weekday,year,season_spring,season_summer,season_winter,pm2_5_roll_mean_7,pm2_5_roll_std_7,pm10_roll_mean_7,pm10_roll_std_7,no2_roll_mean_7,no2_roll_std_7,so2_roll_mean_7,so2_roll_std_7,co_roll_mean_7,co_roll_std_7,o3_roll_mean_7,o3_roll_std_7,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm10_lag1,pm10_lag2,pm10_lag3,no2_lag1,no2_lag2,no2_lag3,so2_lag1,so2_lag2,so2_lag3,co_lag1,co_lag2,co_lag3,o3_lag1,o3_lag2,o3_lag3,aqi_bucket_encoded
2015-01-14,Delhi,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,1.33,27.5,8.33,361.0,Moderate,0,14,1,2,2015,False,False,True,200.95714285714286,166.73658723810294,339.8142857142857,165.7317755548749,91.10000000000001,39.32704752033475,49.74285714285714,36.54726880551893,5.9399999999999995,3.906434862292386,82.67142857142858,66.9656059552393,15.9,59.0,439.9,408.7,239.1,495.3,33.6,118.4,93.8,12.3,90.7,79.3,9.49,0.1,9.87,25.7,191.8,119.7,2
2015-01-15,Delhi,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,16.55,7.68,5.84,481.7,Good,0,15,1,3,2015,False,False,True,165.6,164.7026006675871,374.4142857142857,192.5228854670827,89.55714285714285,41.55814629900526,39.557142857142864,35.12130678770638,5.688571428571428,3.8977362172224557,85.48571428571428,64.699908000229,33.1,15.9,59.0,568.6,408.7,239.1,145.7,33.6,118.4,13.5,12.3,90.7,2.65,9.49,0.1,89.5,25.7,191.8,0
2015-01-16,Delhi,283.3,260.2,137.0,12.5,158.5,1.9,1.88,91.3,167.1,14.94,7.51,0.64,240.1,Poor,0,16,1,4,2015,False,False,True,173.67142857142858,169.51572900752416,396.87142857142857,162.39832423484464,76.97142857142856,50.11575648056256,44.51428571428572,40.03308750568828,4.63,3.760429939958107,92.38571428571429,71.10350269317325,67.7,33.1,15.9,597.1,568.6,408.7,34.8,145.7,33.6,13.3,13.5,12.3,5.05,2.65,9.49,48.5,89.5,25.7,3
2015-01-17,Delhi,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,12.36,6.02,8.84,257.4,Good,0,17,1,5,2015,False,False,True,182.4857142857143,179.50794252225003,393.45714285714286,167.18471677701146,81.14285714285714,53.4559587306179,57.01428571428572,41.529885968678364,5.087142857142857,3.776200534424844,103.35714285714286,60.38111893472598,283.3,67.7,33.1,260.2,597.1,568.6,12.5,34.8,145.7,91.3,13.3,13.5,1.88,5.05,2.65,167.1,48.5,89.5,0
2015-01-18,Delhi,486.5,401.3,97.5,1.0,67.5,21.3,2.88,63.0,171.9,19.79,26.21,3.38,439.8,Good,0,18,1,6,2015,False,False,True,189.14285714285714,191.13300654381018,380.0285714285714,161.31317071962553,67.88571428571429,60.79699632304841,54.68571428571429,40.51668086814897,4.088571428571428,3.1773648860412025,110.81428571428572,65.72296474778125,378.5,283.3,67.7,185.2,260.2,597.1,129.2,12.5,34.8,98.7,91.3,13.3,6.57,1.88,5.05,81.2,167.1,48.5,0
2015-01-19,Delhi,176.7,498.0,108.8,98.2,224.1,44.6,7.15,95.7,100.2,19.03,17.88,8.97,102.0,Satisfactory,0,19,1,0,2015,False,False,True,205.95714285714286,182.77015490448522,417.0142857142857,153.08626575204184,65.0,58.43318121296039,55.4,41.29402700956479,5.095714285714286,2.796937951539488,97.72857142857143,55.185104097806274,486.5,378.5,283.3,401.3,185.2,260.2,1.0,129.2,12.5,63.0,98.7,91.3,2.88,6.57,1.88,171.9,81.2,167.1,1
2015-01-20,Delhi,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,3.39,19.37,6.2,374.5,Very Poor,0,20,1,1,2015,False,False,True,230.5,163.51591156010883,364.7,208.82479099315134,60.81428571428571,61.997995359297136,62.31428571428571,36.66744371471004,4.007142857142857,2.226272776680899,118.67142857142858,50.94921374223926,176.7,486.5,378.5,498.0,401.3,185.2,98.2,1.0,129.2,95.7,63.0,98.7,7.15,2.88,6.57,100.2,171.9,81.2,4
2015-01-21,Delhi,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,19.79,13.28,8.16,192.3,Good,0,21,1,2,2015,False,False,True,226.27142857142857,169.73596863251774,355.8142857142857,199.83232495078994,60.871428571428574,62.089390244649536,72.01428571428572,29.971677106418802,4.188571428571429,2.147598880699316,113.57142857142857,55.901989060787294,187.7,176.7,486.5,42.5,498.0,401.3,4.3,98.2,1.0,60.7,95.7,63.0,1.87,7.15,2.88,172.3,100.2,171.9,0
2015-01-22,Delhi,403.8,423.9,106.4,41.3,106.2,23.0,8.67,68.2,135.0,7.14,8.6,6.4,126.7,Severe,0,22,1,3,2015,False,False,True,274.2857142857143,164.87150985511343,331.07142857142856,174.03503205088447,61.8,61.6817639177091,79.85714285714286,15.950011195696938,4.7057142857142855,2.742935514753353,125.92857142857143,48.14248692806645,3.5,187.7,176.7,506.4,42.5,498.0,146.1,4.3,98.2,81.4,60.7,95.7,3.92,1.87,7.15,53.8,172.3,100.2,5
2015-01-23,Delhi,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37.0,139.6,12.89,16.09,8.7,362.2,Good,0,23,1,4,2015,False,False,True,256.31428571428575,170.48583937844055,346.0571428571428,171.41194879726498,68.22857142857143,57.91740424333358,72.10000000000001,21.64486082191337,5.022857142857143,2.4772411690273137,122.00000000000001,45.25847986841804,403.8,3.5,187.7,423.9,506.4,42.5,41.3,146.1,4.3,68.2,81.4,60.7,8.67,3.92,1.87,135.0,53.8,172.3,0
2015-01-24,Delhi,188.3,442.6,191.0,82.8,181.5,13.7,0.53,3.6,37.1,1.62,24.86,7.97,288.8,Good,0,24,1,5,2015,False,False,True,229.14285714285714,162.7478198230098,382.8285714285715,158.25763503736258,61.6,52.143711669449345,58.51428571428572,30.286654298080343,4.16,2.869401795961428,115.70000000000002,54.09177386627287,157.5,403.8,3.5,365.1,423.9,506.4,57.5,41.3,146.1,37.0,68.2,81.4,4.1,8.67,3.92,139.6,135.0,53.8,0
2015-01-25,Delhi,397.3,457.0,112.9,100.4,87.4,21.1,7.67,76.0,2.7,14.55,25.88,5.98,148.4,Severe,0,25,1,6,2015,False,False,True,216.4,141.32030993455965,390.7857142857143,160.7222596963618,75.8,46.07132152073204,60.371428571428574,30.997780258469817,4.844285714285715,3.0769240979851786,91.52857142857142,62.016495501485046,188.3,157.5,403.8,442.6,365.1,423.9,82.8,57.5,41.3,3.6,37.0,68.2,0.53,4.1,8.67,37.1,139.6,135.0,5
2015-01-26,Delhi,336.2,576.0,52.7,6.6,157.1,0.4,4.15,96.1,165.4,5.0,12.88,4.31,260.0,Satisfactory,0,26,1,0,2015,False,False,True,239.18571428571428,146.61185068712814,401.92857142857144,171.72174890682618,62.714285714285715,51.354371075609805,60.42857142857143,31.074036015389346,4.4157142857142855,2.90645177230965,100.84285714285716,68.13072868006176,397.3,188.3,157.5,457.0,442.6,365.1,100.4,82.8,57.5,76.0,3.6,37.0,7.67,0.53,4.1,2.7,37.1,139.6,1
2015-01-27,Delhi,125.9,443.0,35.0,120.4,103.5,41.6,4.44,30.5,91.4,10.42,5.67,8.6,225.8,Moderate,0,27,1,1,2015,False,False,True,230.35714285714286,151.99094114609656,459.14285714285717,66.47530511758634,79.3,47.98166316417137,56.114285714285714,33.062891009480126,4.782857142857144,2.6851797847053884,89.2857142857143,60.413641631986536,336.2,397.3,188.3,576.0,457.0,442.6,6.6,100.4,82.8,96.1,76.0,3.6,4.15,7.67,0.53,165.4,2.7,37.1,2
2015-01-28,Delhi,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58.0,4.3,2.02,19.5,5.32,260.7,Very Poor,0,28,1,2,2015,False,False,True,239.44285714285712,137.36712194144633,466.42857142857144,74.79243977581598,78.7,47.023823749244386,52.771428571428565,31.211360874192067,5.037142857142858,2.674108663247839,82.21428571428571,67.71527224517448,125.9,336.2,397.3,443.0,576.0,457.0,120.4,6.6,100.4,30.5,96.1,76.0,4.44,4.15,7.67,91.4,165.4,2.7,4
2015-01-29,Delhi,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95.0,127.3,12.55,28.07,3.73,44.1,Severe,0,29,1,3,2015,False,False,True,199.22857142857143,121.52312145274678,471.1857142857143,72.66536149985615,79.47142857142858,46.347445606912515,56.6,34.8508727772108,3.9085714285714284,2.5495190956428666,81.11428571428571,66.77083766064916,67.1,125.9,336.2,557.4,443.0,576.0,141.9,120.4,6.6,58.0,30.5,96.1,5.7,4.44,4.15,4.3,91.4,165.4,5
2015-01-30,Delhi,485.5,128.0,37.5,103.7,79.1,10.8,1.14,6.5,133.6,10.55,27.99,7.05,337.9,Moderate,0,30,1,4,2015,False,False,True,246.08571428571426,159.92088073556278,437.31428571428575,147.29384948204083,86.07142857142857,45.98527714699254,52.24285714285714,39.32865186022598,3.4857142857142853,2.750059739610864,80.25714285714285,65.92811380948336,122.3,67.1,125.9,457.2,557.4,443.0,46.7,141.9,120.4,95.0,58.0,30.5,0.77,5.7,4.44,127.3,4.3,91.4,2
2015-01-31,Delhi,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,3.89,18.54,9.64,489.9,Good,0,31,1,5,2015,False,False,True,277.1714285714286,167.77231311399103,424.9285714285714,150.38803935470528,86.82857142857144,45.966064086661234,64.24285714285713,34.53610946738004,4.3914285714285715,2.656811551286169,90.55714285714285,63.65482063815899,485.5,122.3,67.1,128.0,457.2,557.4,103.7,46.7,141.9,6.5,95.0,58.0,1.14,0.77,5.7,133.6,127.3,4.3,0
2015-02-01,Delhi,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91.0,36.4,5.4,21.36,2.36,447.5,Moderate,0,1,2,6,2015,False,False,True,221.01428571428573,185.69349682179168,384.24285714285713,176.5197048220855,72.61428571428571,55.47144696662805,66.38571428571427,35.82836067379344,3.7228571428571433,2.2523300104981234,95.37142857142858,56.80888176701816,405.9,485.5,122.3,355.9,128.0,457.2,88.1,103.7,46.7,87.6,6.5,95.0,6.87,1.14,0.77,109.2,133.6,127.3,2
2015-02-02,Delhi,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,10.1,7.9,5.83,266.8,Poor,0,2,2,0,2015,False,False,True,220.72857142857143,185.48815518594634,342.8428571428571,156.949629469063,91.62857142857142,51.75953098337587,54.785714285714285,37.700461030400696,3.5571428571428574,2.2583306097330267,82.64285714285714,47.76521946433609,4.2,405.9,485.5,172.2,355.9,128.0,0.9,88.1,103.7,91.0,87.6,6.5,2.99,6.87,1.14,36.4,109.2,133.6,3
2015-02-03,Delhi,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,18.51,2.22,2.72,40.7,Good,0,3,2,1,2015,False,False,True,244.55714285714285,181.95601901872567,280.35714285714283,193.29129879659908,90.27142857142859,50.998356649527246,57.542857142857144,36.3083946740905,3.607142857142857,2.284853855907888,77.47142857142858,48.61123718804513,334.2,4.2,405.9,286.2,172.2,355.9,139.7,0.9,88.1,14.9,91.0,87.6,2.99,2.99,6.87,76.3,36.4,109.2,0
2015-02-04,Delhi,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,9.07,26.36,0.11,365.4,Severe,0,4,2,2,2015,False,False,True,293.9857142857143,172.46319828271993,237.05714285714285,149.9839753345097,76.34285714285714,47.759182612451845,54.9,36.937424562810726,3.518571428571429,2.200669811454599,80.98571428571428,43.00579141508845,292.7,334.2,4.2,5.6,286.2,172.2,110.9,139.7,0.9,49.8,14.9,91.0,4.79,2.99,2.99,55.2,76.3,36.4,5
2015-02-05,Delhi,172.9,328.3,79.4,28.6,207.0,13.3,8.51,85.2,189.5,14.27,1.24,2.89,37.6,Satisfactory,0,5,2,3,2015,False,False,True,301.2142857142857,164.96531381446454,218.64285714285714,124.1369788733779,73.75714285714285,50.06581858390203,53.5,35.31430305131335,4.6242857142857146,2.511943849842569,89.87142857142858,57.98654195258627,413.1,292.7,334.2,254.3,5.6,286.2,44.4,110.9,139.7,39.5,49.8,14.9,5.08,4.79,2.99,28.9,55.2,76.3,1
2015-02-06,Delhi,23.8,436.9,190.1,88.6,221.6,1.1,0.46,71.2,144.9,0.55,18.71,0.03,52.3,Moderate,0,6,2,4,2015,False,False,True,235.25714285714284,171.18526861408426,262.7714285714286,140.38558466221644,71.6,48.871736890217704,62.74285714285714,28.835386659615367,4.527142857142858,2.676880736265715,91.48571428571428,59.54318960696873,172.9,413.1,292.7,328.3,254.3,5.6,28.6,44.4,110.9,85.2,39.5,49.8,8.51,5.08,4.79,189.5,28.9,55.2,2
2015-02-07,Delhi,207.1,288.6,197.7,66.6,80.7,49.8,0.73,71.2,51.0,18.91,5.7,0.75,261.6,Satisfactory,0,7,2,5,2015,False,False,True,206.85714285714286,153.76079753026403,253.15714285714284,135.15165379605787,68.52857142857142,48.3345878326523,60.40000000000001,27.09274195548813,3.65,2.7850134649584732,83.17142857142858,60.709354421585765,23.8,172.9,413.1,436.9,328.3,254.3,88.6,28.6,44.4,71.2,85.2,39.5,0.46,8.51,5.08,144.9,189.5,28.9,1
2015-02-08,Delhi,21.0,132.5,140.7,105.3,139.7,27.5,1.86,26.8,18.6,19.33,15.96,1.9,311.0,Moderate,0,8,2,6,2015,False,False,True,209.25714285714284,150.15932490905402,247.4857142857143,139.86585750367405,83.44285714285715,39.24040677426169,51.228571428571435,25.84535511368301,3.488571428571429,2.861348333515912,80.62857142857142,63.311918685339556,207.1,23.8,172.9,288.6,436.9,328.3,66.6,88.6,28.6,71.2,71.2,85.2,0.73,0.46,8.51,51.0,144.9,189.5,2
2015-02-09,Delhi,476.6,581.6,20.3,73.0,193.8,12.6,6.1,29.9,106.4,0.85,22.7,6.18,326.7,Moderate,0,9,2,0,2015,False,False,True,229.6,177.1306485808333,289.6857142857143,189.31562207568805,73.91428571428571,30.40693060095721,53.371428571428574,22.77020818860426,3.9328571428571424,3.0086858387326645,84.92857142857143,63.987491337128134,21.0,207.1,23.8,132.5,288.6,436.9,105.3,66.6,88.6,26.8,71.2,71.2,1.86,0.73,0.46,18.6,51.0,144.9,2
2015-02-10,Delhi,262.9,178.7,75.4,34.7,188.0,39.8,1.08,2.5,142.6,5.22,27.63,0.9,437.3,Very Poor,0,10,2,1,2015,False,False,True,225.34285714285716,175.71379055292212,314.4142857142857,154.04276926199668,63.028571428571425,28.541823948124165,46.614285714285714,29.90660064107523,3.402857142857143,3.1557076030884854,97.41428571428571,65.72334513122485,476.6,21.0,207.1,581.6,132.5,288.6,73.0,105.3,66.6,29.9,26.8,71.2,6.1,1.86,0.73,106.4,18.6,51.0,4
2015-02-11,Delhi,87.9,210.8,30.8,149.5,197.5,9.6,6.64,34.9,72.4,12.5,10.86,7.25,26.7,Severe,0,11,2,2,2015,False,False,True,178.8857142857143,160.09473683386582,308.2,157.70590773123664,78.04285714285713,41.713501297256144,45.957142857142856,30.138616266779568,3.625714285714285,3.3433907795473,103.62857142857142,59.970179097217816,262.9,476.6,21.0,178.7,581.6,132.5,34.7,73.0,105.3,2.5,29.9,26.8,1.08,6.1,1.86,142.6,106.4,18.6,5
2015-02-12,Delhi,416.1,398.4,145.2,127.7,247.4,45.7,3.24,8.0,27.4,19.31,8.2,3.46,413.9,Satisfactory,0,12,2,3,2015,False,False,True,213.62857142857143,183.28814941039073,318.2142857142857,161.37789427894003,92.2,38.85520128202486,34.92857142857143,27.38416295876834,2.8728571428571428,2.5623733418175303,80.47142857142856,52.06030843440821,87.9,262.9,476.6,210.8,178.7,581.6,149.5,34.7,73.0,34.9,2.5,29.9,6.64,1.08,6.1,72.4,142.6,106.4,1
2015-02-13,Delhi,64.2,531.8,24.7,50.7,168.3,18.3,1.17,7.3,122.4,10.75,19.5,3.53,205.5,Poor,0,13,2,4,2015,False,False,True,219.40000000000003,176.83708133005737,331.77142857142854,176.3060474883161,86.78571428571429,41.95721743917362,25.800000000000004,23.677556180202917,2.974285714285714,2.4630729935242615,77.25714285714285,47.95188064239876,416.1,87.9,262.9,398.4,210.8,178.7,127.7,149.5,34.7,8.0,34.9,2.5,3.24,6.64,1.08,27.4,72.4,142.6,3
2015-02-14,Delhi,381.0,226.1,56.2,137.1,89.2,48.1,8.28,88.5,134.2,5.89,14.48,4.03,493.5,Poor,0,14,2,5,2015,False,False,True,244.24285714285716,186.75796151831437,322.84285714285716,180.39197004618262,96.85714285714286,44.67750579217155,28.27142857142857,29.41409607006556,4.0528571428571425,2.9260594336964187,89.14285714285714,50.59719548034447,64.2,416.1,87.9,531.8,398.4,210.8,50.7,127.7,149.5,7.3,8.0,34.9,1.17,3.24,6.64,122.4,27.4,72.4,3
2015-02-15,Delhi,389.3,412.5,71.4,85.3,167.1,27.1,9.15,60.6,41.6,2.33,15.98,9.75,9.8,Severe,0,15,2,6,2015,False,False,True,296.85714285714283,163.85846389636453,362.84285714285716,161.17049830477512,94.0,44.68709731753301,33.1,31.80906579368004,5.094285714285713,3.2901664453482042,92.42857142857143,45.769193215732436,381.0,64.2,416.1,226.1,531.8,398.4,137.1,50.7,127.7,88.5,7.3,8.0,8.28,1.17,3.24,134.2,122.4,27.4,5
2015-02-16,Delhi,65.4,70.3,49.0,43.2,80.0,22.6,4.59,30.2,31.9,2.72,19.29,6.46,118.1,Poor,0,16,2,0,2015,False,False,True,238.11428571428573,162.38197178844933,289.8,161.3667665082662,89.74285714285715,48.294922339822875,33.142857142857146,31.804237513411994,4.878571428571428,3.2626238345408876,81.78571428571429,50.4059000703763,389.3,381.0,64.2,412.5,226.1,531.8,85.3,137.1,50.7,60.6,88.5,7.3,9.15,8.28,1.17,41.6,134.2,122.4,3
2015-02-17,Delhi,355.9,417.6,182.8,5.5,64.6,6.8,0.31,22.2,140.9,13.53,26.99,8.83,464.4,Severe,0,17,2,1,2015,False,False,True,251.4,168.43940552416268,323.92857142857144,159.2020279842116,85.57142857142857,54.680487509583465,35.957142857142856,29.423282002684925,4.768571428571429,3.4211666069311724,81.54285714285713,50.06701699198975,65.4,389.3,381.0,70.3,412.5,226.1,43.2,85.3,137.1,30.2,60.6,88.5,4.59,9.15,8.28,31.9,41.6,134.2,5
2015-02-18,Delhi,252.3,553.2,103.6,11.2,4.9,20.0,0.78,82.4,7.8,17.96,20.74,2.09,208.6,Very Poor,0,18,2,2,2015,False,False,True,274.8857142857143,152.55518595545928,372.8428571428571,170.8268017334405,65.81428571428572,52.68075007601379,42.74285714285714,34.2244482372303,3.931428571428572,3.5992380145961844,72.31428571428572,57.443433874012925,355.9,65.4,389.3,417.6,70.3,412.5,5.5,43.2,85.3,22.2,30.2,60.6,0.31,4.59,9.15,140.9,31.9,41.6,4
2015-02-19,Delhi,450.2,576.9,82.2,74.7,74.8,3.1,7.77,81.9,163.1,7.9,4.41,3.08,456.4,Good,0,19,2,3,2015,False,False,True,279.75714285714287,158.2540242473353,398.34285714285716,187.7610081738916,58.24285714285715,45.64244578397235,53.300000000000004,33.10065457560217,4.578571428571428,3.8525334892398124,91.70000000000002,62.4401046336941,252.3,355.9,65.4,553.2,417.6,70.3,11.2,5.5,43.2,82.4,22.2,30.2,0.78,0.31,4.59,7.8,140.9,31.9,0
2015-02-20,Delhi,318.0,329.0,6.1,64.2,16.6,41.1,1.94,5.8,60.0,7.13,21.31,8.33,16.1,Severe,0,20,2,4,2015,False,False,True,316.0142857142857,126.5316749351907,369.37142857142857,179.18677140798937,60.17142857142857,45.55574293418682,53.08571428571429,33.45108013061404,4.688571428571429,3.748579413464202,82.78571428571429,61.77748857988721,450.2,252.3,355.9,576.9,553.2,417.6,74.7,11.2,5.5,81.9,82.4,22.2,7.77,0.78,0.31,163.1,7.8,140.9,5
2015-02-21,Delhi,121.9,212.9,158.9,49.6,103.8,41.1,0.08,9.6,178.5,6.04,27.27,1.74,412.8,Moderate,0,21,2,5,2015,False,False,True,279.0,141.37915923737367,367.4857142857143,181.00603515326432,47.67142857142857,30.419166890066403,41.81428571428571,32.816074748585656,3.5171428571428573,3.720348165990715,89.11428571428571,69.68523106492098,318.0,450.2,252.3,329.0,576.9,553.2,64.2,74.7,11.2,5.8,81.9,82.4,1.94,7.77,0.78,60.0,163.1,7.8,2
2015-02-22,Delhi,190.3,388.7,135.2,75.4,65.5,22.8,1.79,28.6,34.3,19.66,16.12,9.09,136.1,Very Poor,0,22,2,6,2015,False,False,True,250.57142857142858,135.3838458394712,364.08571428571435,180.24148087654913,46.25714285714286,28.55088189781281,37.24285714285714,31.98123705877437,2.4657142857142853,2.7857186813152133,88.07142857142857,70.56388864676026,121.9,318.0,450.2,212.9,329.0,576.9,49.6,64.2,74.7,9.6,5.8,81.9,0.08,1.94,7.77,178.5,60.0,163.1,4
2015-02-23,Delhi,318.1,553.9,184.9,62.7,13.2,15.4,7.9,62.8,166.5,9.97,24.42,9.87,305.5,Good,0,23,2,0,2015,False,False,True,286.6714285714285,108.87446462609607,433.1714285714285,136.1564751096536,49.042857142857144,29.14794773466659,41.9,33.13744105992494,2.9385714285714286,3.4160182892339663,107.3,71.04367201470751,190.3,121.9,318.0,388.7,212.9,329.0,75.4,49.6,64.2,28.6,9.6,5.8,1.79,0.08,1.94,34.3,178.5,60.0,0
2015-02-24,Delhi,199.8,131.5,21.7,148.8,68.4,32.5,1.49,40.6,77.0,0.24,29.6,9.84,286.3,Severe,0,24,2,1,2015,False,False,True,264.37142857142857,108.31659944018604,392.3,178.09238239370785,69.51428571428572,41.27058793585848,44.52857142857143,32.025443753663225,3.107142857142857,3.2915331497936453,98.17142857142858,70.10591307171634,318.1,190.3,121.9,553.9,388.7,212.9,62.7,75.4,49.6,62.8,28.6,9.6,7.9,1.79,0.08,166.5,34.3,178.5,5
